delta_financial_index_dict,ALL,DT_test,a,EPS_Market_capitalizati_Size_Votility
delta_financial_index_dict,ALL,DT_test,p,BM_Book_Value_BPS_EPS_Equity_Multiplier_ROE_Diluted_Size_Turnover_Votility
delta_financial_index_dict,ALL,DT_test,r,BM_Book_Value_BPS_EPS_Equity_Multiplier_ROE_Diluted_Size_Turnover_Votility
delta_financial_index_dict,ALL,DT_test,f1,BM_Book_Value_BPS_EPS_Equity_Multiplier_ROE_Diluted_Size_Turnover_Votility
delta_financial_index_dict,ALL,RF_train,a,Book_Value_BPS_Market_capitalizati_ROE_Diluted_Size_Votility
delta_financial_index_dict,ALL,RF_train,p,BM_Book_Value_BPS_EPS_PE_Rati_ROE_Diluted_Size_Turnover_Votility
delta_financial_index_dict,ALL,RF_train,r,Book_Value_BPS_Market_capitalizati_ROE_Diluted_Size_Votility
delta_financial_index_dict,ALL,RF_train,f1,Book_Value_BPS_Market_capitalizati_ROE_Diluted_Size_Votility
delta_financial_index_dict,ALL,SVC_rbf_test,a,EPS_Turnover
delta_financial_index_dict,ALL,SVC_rbf_test,p,BPS_Equity_Multiplier_Market_capitalizati_PE_Rati_Size_Turnover
delta_financial_index_dict,ALL,SVC_rbf_test,r,BM_EPS_Turnover
delta_financial_index_dict,ALL,SVC_rbf_test,f1,BM_EPS_Turnover
delta_financial_index_dict,ALL,SVC_linear_train,a,BM_EPS_ROE_Diluted_Size_Turnover
delta_financial_index_dict,ALL,SVC_linear_train,p,BPS_PE_Rati_ROE_Diluted
delta_financial_index_dict,ALL,SVC_linear_train,r,BM_BPS_EPS_Equity_Multiplier_PE_Rati_ROE_Diluted_Turnover
delta_financial_index_dict,ALL,SVC_linear_train,f1,Market_capitalizati_PE_Rati_ROE_Diluted_Turnover
delta_financial_index_dict,ALL,DT_train,a,BM_EPS_Market_capitalizati_ROE_Diluted_Votility
delta_financial_index_dict,ALL,DT_train,p,BM_EPS_Market_capitalizati_ROE_Diluted_Votility
delta_financial_index_dict,ALL,DT_train,r,BM_EPS_Market_capitalizati_ROE_Diluted_Votility
delta_financial_index_dict,ALL,DT_train,f1,BM_EPS_Market_capitalizati_ROE_Diluted_Votility
delta_financial_index_dict,ALL,LR_train,a,BM_EPS_PE_Rati
delta_financial_index_dict,ALL,LR_train,p,PE_Rati_Turnover
delta_financial_index_dict,ALL,LR_train,r,Market_capitalizati_Turnover
