fin,(全部),,,
model,(多项),,,
index,(全部),,,
,,,,
计数项:index,列标签,,,
行标签,ALL,MPE,OEE,总计
Equity_Multiplier,,1,,1
Equity_Multiplier_Market_capitalizati_PE_Rati_Turnover,,,1,1
Equity_Multiplier_PE_Rati,,1,,1
Equity_Multiplier_PE_Rati_ROE_Diluted_Turnover,,,1,1
Market_capitalizati,2,,,2
Market_capitalizati_ROE_Diluted,,,1,1
Market_capitalizati_Size_Turnover_Votility,,2,,2
PE_Rati,,1,,1
PE_Rati_ROE_Diluted_Size_Turnover,,1,,1
PE_Rati_Size_Turnover_Votility,,2,,2
ROE_Diluted,4,,,4
Size,,2,,2
Size_Turnover_Votility,,4,,4
总计,96,96,96,288
